720x1280
Adreno 320 (16.27)	Adreno 320 (6.48)	Adreno 320 (17.93)	Adreno 320 (6.36)	Adreno 320 (15.96)	Adreno 530 (16.61)	Adreno 530 (5.41)	Adreno 530 (22.54)	Adreno 530 (5.50)	Adreno 530 (22.81)	Mali 450 (17.48)	Mali 450 (10.55)	Mali 450 (29.94)	Mali 450 (14.54)	Mali 450 (29.55)	PVR G6200 (16.91)	PVR G6200 (12.47)	PVR G6200 (19.95)	PVR G6200 (10.72)	PVR G6200 (20.25)	Tegra 3 (39.70)	Tegra 3 (26.76)	Tegra 3 (36.54)	Tegra 3 (27.59)	Tegra 3 (34.41)	Tegra 4 (16.53)	Tegra 4 (9.21)	Tegra 4 (16.79)	Tegra 4 (10.10)	Tegra 4 (16.41)	
vsync (16.27)	none (6.48)	glReadPixels (17.93)	EGLSyncKHR (6.36)	glFinish (15.96)	vsync (16.61)	none (5.41)	glReadPixels (22.54)	EGLSyncKHR (5.50)	glFinish (22.81)	vsync (17.48)	none (10.55)	glReadPixels (29.94)	EGLSyncKHR (14.54)	glFinish (29.55)	vsync (16.91)	none (12.47)	glReadPixels (19.95)	EGLSyncKHR (10.72)	glFinish (20.25)	vsync (39.70)	none (26.76)	glReadPixels (36.54)	EGLSyncKHR (27.59)	glFinish (34.41)	vsync (16.53)	none (9.21)	glReadPixels (16.79)	EGLSyncKHR (10.10)	glFinish (16.41)	
16.149000	3.695000	14.610000	3.702000	12.290000	17.795000	3.558000	22.094000	4.025000	18.668000	15.028000	6.728000	19.162000	11.797000	22.242000	11.416000	4.325000	15.133000	5.727000	17.114000	24.551000	11.617000	25.981000	12.000000	27.036000	14.646000	7.224000	14.669000	8.066000	13.416000	
16.224000	3.834000	15.274000	3.778000	12.569000	15.628000	3.637000	25.414000	4.464000	20.324000	17.973000	7.282000	22.304000	11.901000	23.653000	18.658000	5.136000	14.585000	6.237000	34.600000	26.393000	14.793000	26.616000	13.880000	26.689000	17.064000	6.245000	12.854000	8.322000	13.109000	
15.697000	4.737000	17.100000	4.608000	14.740000	19.107000	4.353000	30.568000	4.912000	27.794000	16.714000	9.796000	26.060000	11.867000	27.628000	18.218000	9.492000	17.218000	7.579000	18.292000	30.862000	24.346000	28.307000	23.011000	29.414000	19.502000	7.912000	15.088000	7.958000	14.343000	
25.938000	10.279000	27.095000	26.002000	25.681000	24.395000	7.926000	26.804000	9.160000	19.918000	20.902000	19.833000	47.276000	19.526000	44.890000	31.023000	22.936000	35.646000	29.162000	28.168000	195.134000	28.379000	39.063000	29.572000	35.552000	24.201000	12.023000	18.798000	13.741000	19.851000	
7.125000	5.051000	18.134000	32.151000	15.862000	14.706000	4.435000	19.083000	5.488000	14.444000	11.809000	10.447000	27.852000	10.867000	27.692000	6.452000	5.799000	15.649000	5.469000	19.458000	25.428000	46.657000	26.566000	47.900000	27.383000	9.955000	7.437000	14.920000	7.213000	14.614000	
15.744000	4.641000	17.352000	33.273000	15.676000	10.681000	4.198000	18.031000	4.958000	15.594000	15.551000	9.785000	27.202000	10.939000	27.506000	10.866000	5.523000	15.681000	6.307000	19.651000	87.052000	22.109000	26.821000	22.435000	25.533000	12.799000	6.483000	13.606000	9.136000	14.610000	
16.090000	4.947000	17.738000	5.150000	14.788000	14.867000	4.103000	18.866000	4.995000	19.993000	14.269000	9.557000	27.633000	11.256000	27.172000	17.584000	8.230000	16.181000	5.750000	20.259000	89.933000	23.284000	26.776000	20.518000	26.549000	17.515000	8.812000	14.357000	7.445000	14.052000	
16.310000	4.537000	17.342000	5.515000	14.716000	15.132000	4.110000	20.094000	4.789000	22.388000	14.785000	9.167000	27.335000	10.243000	27.094000	16.879000	9.194000	16.640000	6.720000	24.548000	43.509000	20.379000	27.795000	26.780000	27.305000	15.051000	7.744000	13.178000	8.985000	15.411000	
16.501000	4.466000	17.368000	7.088000	16.994000	19.701000	4.182000	24.125000	4.952000	26.283000	16.369000	9.199000	27.739000	10.692000	27.432000	16.981000	10.788000	17.533000	6.058000	24.550000	26.593000	22.181000	27.133000	15.474000	26.501000	17.134000	8.076000	12.633000	7.750000	14.895000	
16.381000	4.656000	17.694000	5.291000	14.997000	16.763000	4.120000	28.629000	4.690000	23.381000	16.950000	9.452000	28.490000	10.031000	27.755000	18.075000	12.480000	20.665000	5.722000	25.190000	30.441000	15.001000	29.226000	21.184000	30.377000	16.800000	8.125000	15.002000	9.698000	14.786000	
16.484000	5.922000	18.271000	13.044000	11.410000	17.817000	4.465000	15.303000	5.088000	24.988000	19.505000	9.462000	32.425000	12.496000	28.015000	21.011000	10.610000	22.937000	9.980000	27.060000	19.432000	14.314000	31.373000	23.982000	28.235000	15.825000	7.342000	14.704000	7.563000	13.622000	
16.463000	4.775000	18.772000	5.343000	11.062000	16.937000	6.011000	19.477000	4.919000	26.956000	14.356000	9.703000	32.310000	13.233000	28.888000	13.343000	12.108000	21.335000	11.173000	27.125000	25.446000	24.831000	31.495000	22.690000	29.981000	16.876000	7.983000	15.171000	9.796000	14.312000	
16.328000	6.652000	23.601000	7.057000	12.223000	17.264000	5.798000	25.051000	5.634000	17.382000	17.504000	11.573000	33.723000	14.020000	31.746000	22.922000	13.877000	23.380000	11.247000	28.540000	35.272000	15.508000	31.580000	28.037000	31.629000	17.284000	8.302000	15.145000	8.411000	14.746000	
16.635000	5.567000	20.252000	7.392000	12.011000	14.729000	6.119000	26.318000	5.535000	15.231000	16.977000	10.889000	34.874000	13.010000	36.840000	14.751000	12.701000	22.041000	11.549000	22.848000	45.329000	46.721000	34.190000	21.556000	33.826000	16.831000	8.334000	18.731000	10.714000	15.958000	
16.563000	6.196000	20.256000	9.732000	12.060000	14.344000	6.375000	35.920000	5.650000	17.436000	19.142000	10.725000	34.829000	14.466000	29.612000	18.356000	13.230000	23.144000	12.030000	22.656000	19.282000	27.596000	34.090000	27.710000	34.296000	16.151000	6.974000	14.988000	9.508000	13.447000	
16.227000	5.303000	19.162000	6.358000	12.250000	15.962000	5.649000	16.018000	5.070000	17.600000	18.513000	9.599000	32.611000	15.571000	24.184000	12.466000	14.216000	22.575000	12.307000	22.726000	94.680000	13.617000	33.074000	14.772000	33.344000	16.775000	6.758000	17.697000	10.059000	15.195000	
16.123000	4.996000	19.228000	7.184000	12.351000	17.538000	4.975000	18.264000	4.701000	18.588000	21.409000	9.725000	32.888000	16.195000	24.499000	17.915000	12.745000	23.847000	13.160000	25.751000	25.296000	10.838000	33.525000	18.212000	33.185000	16.362000	10.468000	14.769000	10.975000	13.503000	
16.162000	5.886000	18.962000	5.706000	11.761000	16.991000	5.008000	21.040000	4.744000	22.912000	18.273000	9.334000	31.537000	16.282000	30.288000	16.754000	14.940000	23.955000	13.156000	20.101000	31.078000	28.103000	33.417000	19.887000	32.305000	16.585000	10.183000	16.998000	10.094000	15.061000	
16.412000	5.333000	18.770000	6.675000	11.491000	17.466000	4.879000	25.800000	4.819000	26.921000	18.468000	9.603000	31.644000	16.161000	29.915000	18.358000	13.769000	22.283000	13.042000	18.442000	47.898000	28.311000	33.247000	26.890000	33.105000	16.623000	9.422000	14.560000	10.879000	14.700000	
15.623000	5.128000	19.087000	6.483000	11.475000	17.913000	4.760000	31.666000	4.686000	28.220000	18.406000	9.346000	31.198000	16.222000	29.788000	16.847000	14.055000	18.355000	12.938000	18.007000	35.755000	15.515000	32.740000	15.721000	40.705000	16.692000	11.113000	16.907000	9.908000	15.814000	
16.115000	5.361000	19.774000	6.190000	12.450000	19.333000	5.117000	29.366000	5.022000	28.235000	18.533000	9.535000	31.058000	16.019000	29.765000	14.659000	14.547000	18.063000	12.929000	18.591000	22.903000	25.455000	33.889000	20.385000	36.834000	16.346000	9.143000	15.297000	10.758000	16.654000	
